LOADED 12 artifacts (4 anchors from f10_caliber, sha-asserted; 8 new); device sha256 8684d9a9f43a8d15beaa559cd12bd8f2977a3d088b01b93835f60f2bbf98a53d; identical anchor set n=10038 first 2022-01-31 00:00 last 2026-08-30 20:00
window sizes: 2024=2196, 2025=2190, 2026<=08-10=1332, 2024->26=5718, 2025->26=3522
UNITS: g = net_ex/gross_total [bps/anchor per unit gross]; NAV %/yr at L=2 (arithmetic) = mean g × 6 anchors/day × 365 days × 2 ÷ 1e4 × 100 = mean g × 43.8; 2×DD %NAV = maxDD(bps of g) × 2 / 100
### §B.1a Levels — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
| 0.45 (在役) | s2027 | 2024 | +0.588 | +1.30 | 1271 | 25.42 | 0.0900 | 25.74 | 0.552 | 0.723 | 2196 |
| 0.45 (在役) | s2027 | 2025 | +0.767 | +1.34 | 938 | 18.75 | 0.0826 | 33.62 | 0.521 | 0.742 | 2190 |
| 0.45 (在役) | s2027 | 2026<=08-10 | +3.143 | +4.90 | 418 | 8.35 | 0.0370 | 137.66 | 0.784 | 0.388 | 1332 |
| 0.45 (在役) | s2027 | 2024->26 | +1.252 | +2.29 | 1271 | 25.42 | 0.0748 | 54.83 | 0.595 | 0.652 | 5718 |
| 0.45 (在役) | s2027 | 2025->26 | +1.666 | +2.78 | 938 | 18.75 | 0.0654 | 72.97 | 0.621 | 0.608 | 3522 |
| 0.55 | s42 | 2024 | +0.622 | +1.42 | 1095 | 21.91 | 0.0998 | 27.24 | 0.536 | 0.723 | 2196 |
| 0.55 | s42 | 2025 | +0.687 | +1.25 | 976 | 19.51 | 0.1114 | 30.09 | 0.475 | 0.742 | 2190 |
| 0.55 | s42 | 2026<=08-10 | +3.322 | +5.11 | 443 | 8.87 | 0.0357 | 145.5 | 0.778 | 0.388 | 1332 |
| 0.55 | s42 | 2024->26 | +1.276 | +2.38 | 1095 | 21.91 | 0.0893 | 55.88 | 0.569 | 0.652 | 5718 |
| 0.55 | s42 | 2025->26 | +1.683 | +2.85 | 976 | 19.51 | 0.0828 | 73.74 | 0.590 | 0.608 | 3522 |
