total_pnl_bps,ann_return_pct,sharpe,max_dd_bps,win_rate,n_trades,time_in_mkt_pct,n_bars,pnl_per_trade,T_open,T_close,T_flip,fee_rt,max_hold
-2386.573302334931,-83.95463066602682,-3.658497135096963,2801.1002435524133,0.49573287817367184,560,75.28712553208578,12451,-4.261738039883806,1.0,-2.0,1.5,7.0,20
-2833.1139764039544,-99.66299266443916,-4.171760351642921,3524.3690830318956,0.4981549815498155,450,82.70821620753354,12451,-6.295808836453232,1.0,-2.0,1.5,7.0,30
-7521.555729435757,-264.59251541987487,-14.378887657027068,7532.719474779442,0.4727272727272727,1113,43.28969560677857,12451,-6.757911706590977,1.0,-2.0,1.5,9.0,5
-5809.546397662256,-204.36762687142144,-9.765786848430002,5846.753103891853,0.48778523489932885,804,59.83455144165127,12451,-7.225803977191861,1.0,-2.0,1.5,9.0,10
-3506.573302334931,-123.3538757065858,-5.356793916782636,3753.986575688061,0.49317260507787497,560,75.28712553208578,12451,-6.261738039883806,1.0,-2.0,1.5,9.0,20
-3733.1139764039544,-131.32310028631693,-5.482016806452158,4148.369083031896,0.49592153816275003,450,82.70821620753354,12451,-8.295808836453233,1.0,-2.0,1.5,9.0,30
-8634.555729435757,-303.74551517893036,-16.435331819324922,8642.719474779442,0.46957328385899816,1113,43.28969560677857,12451,-7.757911706590977,1.0,-2.0,1.5,10.0,5
-6613.546397662256,-232.65065634696555,-11.083161732073156,6637.753103891853,0.48577181208053694,804,59.83455144165127,12451,-8.22580397719186,1.0,-2.0,1.5,10.0,10
-4066.573302334931,-143.05349822686532,-6.199446130092006,4293.986575688061,0.49189246852997653,560,75.28712553208578,12451,-7.261738039883806,1.0,-2.0,1.5,10.0,20
-4183.113976403954,-147.1531540972558,-6.132780251706297,4460.369083031896,0.4949504758205477,450,82.70821620753354,12451,-9.295808836453233,1.0,-2.0,1.5,10.0,30
-1775.3833256618116,-62.45425240060023,-3.618375899367088,2696.14303329481,0.49772861939561525,1167,40.6634005300779,12451,-1.521322472717919,1.0,-1.0,1.5,3.6,5
