Scenario,fee_rt,T_open,T_close,max_hold,Sharpe,Ann.Ret%,Total bps,DD bps,Trades,PnL/trade,TimeInMkt%
pure maker (ideal),0.0,0.3,0.3,20.0,8.3907924605637,165.6011658724863,4707.534512050974,369.42518427968025,4579.0,1.0280704328567316,58.19612882499398
maker+slip 0.5,0.5,0.3,0.0,20.0,4.747402845770132,99.99294166726997,2842.4934171214118,385.79009307175875,4042.0,0.7032393411977763,66.03485663802104
maker realistic,1.0,1.2,0.0,5.0,3.2797496047316916,38.41810204221584,1092.1091062274645,399.37819632695755,897.0,1.2175129389380874,14.488796080636094
maker++miss,1.5,1.7,-1.0,5.0,2.727416720332121,25.20203319680665,716.4167016745196,440.4009403231903,215.0,3.3321707054628815,7.268492490563007
USDT VIP9 mixed (1m+1t-BNB),1.7,1.7,-1.0,5.0,2.5635060612025184,23.689383610428045,673.4167016745196,454.70094032319355,215.0,3.132170705462882,7.268492490563007
USDC est,2.0,1.7,-1.0,5.0,2.317614728477981,21.420409230860137,608.9167016745196,476.1509403231903,215.0,2.8321707054628815,7.268492490563007
USDT VIP9 BNB pure taker,3.0,2.2,-1.0,10.0,1.5451366893182046,11.052915576133323,314.2005749735981,239.38982343673706,62.0,5.067751209251583,3.30897116697454
USDT VIP9 pure taker,3.4,2.2,-1.0,10.0,1.4233117809590117,10.180503721663799,289.40057497359805,244.02429759502382,62.0,4.667751209251581,3.30897116697454
