Scenario,fee_rt,T_open,T_close,max_hold,Sharpe,Ann.Ret%,Total bps,DD bps,Trades,PnL/trade,TimeInMkt%
pure maker BNB (ideal),3.6,2.0,-2.0,10.0,5.196732559133333,53.084300511157736,1509.0242595078194,384.55309693813206,108.0,13.972446847294623,8.360774235001205
pure maker USDT (ideal),4.0,2.0,-2.0,10.0,5.048451183848653,51.564615345307594,1465.824259507819,389.75309693813324,108.0,13.572446847294621,8.360774235001205
realistic maker BNB (70/30 fill),5.2,2.0,-2.0,10.0,4.6026288337995505,47.00555984775717,1336.2242595078187,406.35514276027425,108.0,12.372446847294619,8.360774235001205
realistic maker USDT (70/30 fill),5.8,2.0,-2.0,10.0,4.379247686577167,44.72603209898201,1271.4242595078194,414.7551427602791,108.0,11.772446847294624,8.360774235001205
1maker+1taker BNB,6.3,2.0,-2.0,10.0,4.192900342839497,42.82642564166934,1217.4242595078194,421.7551427602791,108.0,11.272446847294624,8.360774235001205
1maker+1taker USDT,7.0,2.0,-2.0,10.0,3.9317656660397446,40.16697660143159,1141.824259507819,431.84940230846405,108.0,10.572446847294621,8.360774235001205
pure taker BNB,9.0,2.0,-2.0,10.0,3.184660257571821,32.568550772180934,925.8242595078191,460.84940230846405,108.0,8.572446847294621,8.360774235001205
pure taker USDT,10.0,2.0,-2.0,10.0,2.8109277714722074,28.7693378575556,817.8242595078191,475.34940230846405,108.0,7.572446847294621,8.360774235001205
